area,cohort,date,d18O_oto,d18O_oto_cor,d18O_wat,Temp.norm,Temp.corr
NRB,2013,2014-11-01,25.4399358180402,26.2655949984781,-5.29454545454546,17.211420962105,13.6008042343829
NRB,2008,2014-11-01,25.4399358180402,26.2655949984781,-5.29454545454546,17.211420962105,13.6008042343829
NRB,2007,2014-11-01,25.4399358180402,26.2655949984781,-5.29454545454546,17.211420962105,13.6008042343829
NRB,2010,2014-11-01,25.4399358180402,26.2655949984781,-5.29454545454546,17.211420962105,13.6008042343829
NRB,2011,2014-11-01,25.4399358180402,26.2655949984781,-5.29454545454546,17.211420962105,13.6008042343829
NRB,2013,2014-12-01,25.9142215323259,26.7398807127639,-5.49063973063973,14.2458914308643,10.7098156681292
NRB,2008,2014-12-01,25.9142215323259,26.7398807127639,-5.49063973063973,14.2458914308643,10.7098156681292
NRB,2007,2014-12-01,25.9142215323259,26.7398807127639,-5.49063973063973,14.2458914308643,10.7098156681292
NRB,2010,2014-12-01,25.9142215323259,26.7398807127639,-5.49063973063973,14.2458914308643,10.7098156681292
NRB,2011,2014-12-01,25.9142215323259,26.7398807127639,-5.49063973063973,14.2458914308643,10.7098156681292
NRB,2013,2015-01-01,23.8105707386751,24.6362299191131,-4.78840579710145,27.069534240885,23.2051561915132
NRB,2014,2015-01-01,23.8105707386751,24.6362299191131,-4.78840579710145,27.069534240885,23.2051561915132
NRB,2008,2015-01-01,23.8105707386751,24.6362299191131,-4.78840579710145,27.069534240885,23.2051561915132
NRB,2007,2015-01-01,23.8105707386751,24.6362299191131,-4.78840579710145,27.069534240885,23.2051561915132
NRB,2010,2015-01-01,23.8105707386751,24.6362299191131,-4.78840579710145,27.069534240885,23.2051561915132
NRB,2011,2015-01-01,23.8105707386751,24.6362299191131,-4.78840579710145,27.069534240885,23.2051561915132
NRB,2013,2015-02-01,23.7924899305943,24.6181491110323,-5.1536231884058,25.3823895000704,21.5609797095752
NRB,2014,2015-02-01,23.7924899305943,24.6181491110323,-5.1536231884058,25.3823895000704,21.5609797095752
NRB,2008,2015-02-01,23.7924899305943,24.6181491110323,-5.1536231884058,25.3823895000704,21.5609797095752
NRB,2007,2015-02-01,23.7924899305943,24.6181491110323,-5.1536231884058,25.3823895000704,21.5609797095752
NRB,2010,2015-02-01,23.7924899305943,24.6181491110323,-5.1536231884058,25.3823895000704,21.5609797095752
NRB,2011,2015-02-01,23.7924899305943,24.6181491110323,-5.1536231884058,25.3823895000704,21.5609797095752
NRB,2013,2015-03-01,23.7719848800892,24.5976440605272,-4.9,26.7084307863094,22.8531402181913
NRB,2014,2015-03-01,23.7719848800892,24.5976440605272,-4.9,26.7084307863094,22.8531402181913
NRB,2008,2015-03-01,23.7719848800892,24.5976440605272,-4.9,26.7084307863094,22.8531402181913
NRB,2007,2015-03-01,23.7719848800892,24.5976440605272,-4.9,26.7084307863094,22.8531402181913
NRB,2010,2015-03-01,23.7719848800892,24.5976440605272,-4.9,26.7084307863094,22.8531402181913
NRB,2011,2015-03-01,23.7719848800892,24.5976440605272,-4.9,26.7084307863094,22.8531402181913
NRB,2013,2015-04-01,23.7639040720084,24.5895632524464,-4.715,27.6501919738165,23.7707732984751
NRB,2014,2015-04-01,23.7639040720084,24.5895632524464,-4.715,27.6501919738165,23.7707732984751
