ID,TL_mm,weight,sex,area,capt_date,age,cohort,year,inc_um,rad_um,core,OH,d18O,sims_dist,"Sr[, 2]"
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,7,227.1,2064.5,229.3,0.0382,-8.64978,1973.071717,0.00117711475409836
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,7,227.1,2064.5,229.3,0.0367,-8.0192735,2008.911397,0.00125165755919854
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,7,227.1,2064.5,229.3,0.038,-6.2053548,2044.266372,0.00117263023679417
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,8,164.5,2169,229.3,0.0394,-6.5254581,2080.106247,0.00121728051001822
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,8,164.5,2169,229.3,0.038,-7.8446717,2115.461179,0.00139176684881603
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,8,164.5,2169,229.3,0.0395,-7.9222725,2151.301234,0.00141411657559199
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,8,164.5,2169,229.3,0.0373,,2187.141513,0.00125844444444444
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,1,439.4,439.4,132.2,0.0463,-8.0774741,0,0.00187888888888889
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,1,439.4,439.4,132.2,0.0427,-8.1744751,35.73513677,0.00169621794871795
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,1,439.4,439.4,132.2,0.0428,-7.9416727,69.26037828,0.00129247863247863
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,1,439.4,439.4,132.2,0.0427,-7.8349716,104.995238,0.00123450854700855
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,1,439.4,439.4,132.2,0.0443,-8.8146817,138.5207566,0.00131752136752137
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,1,439.4,439.4,132.2,0.0434,-7.7670709,174.2555595,0.00134760683760684
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,1,439.4,439.4,132.2,0.0422,-7.8058713,208.0865205,0.00130401709401709
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,1,439.4,439.4,132.2,0.0403,-7.3014661,243.5159132,0.00130143162393162
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,1,439.4,439.4,132.2,0.0419,-7.7088703,277.3463539,0.00132948717948718
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,1,439.4,439.4,132.2,0.0438,-8.2520759,312.7762779,0.00154698717948718
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,1,439.4,439.4,132.2,0.0418,-8.0192735,346.606405,0.00172025641025641
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,1,439.4,439.4,132.2,0.0411,-7.8155714,382.0366475,0.00163055555555556
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,1,439.4,439.4,132.2,0.0435,-7.4566677,415.8665651,0.00139854700854701
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,2,202,641.4,132.2,0.043,-7.7864711,451.6015943,0.00119861111111111
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,2,202,641.4,132.2,0.0435,-9.3384871,485.1267876,0.00115055555555556
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,2,202,641.4,132.2,0.0438,-8.5139786,520.8617859,0.00113294017094017
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,2,202,641.4,132.2,0.0455,-8.6400799,554.3870489,0.00140162393162393
