ID,TL_mm,weight,sex,area,capt_date,age,cohort,year,inc_um,rad_um,core,OH,d18O,Sr,sims_dist
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,4,0.3598,1491.6,229.3,0.0743890044923466,0.653784369432999,-1.39234238030391,1.475680521
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,5,0.2827,1694.3,229.3,0.29329632617183,-0.67953820701745,-1.35244551329559,1.511035737
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,5,0.2827,1694.3,229.3,0.238569495751959,-0.816876154806338,-1.32744738450281,1.546874268
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,5,0.2827,1694.3,229.3,0.142797542517184,-0.673815792526247,-1.40858933220714,1.58222944
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,5,0.2827,1694.3,229.3,-0.295017100841783,-0.381972653474861,-1.2788152163096,1.618068293
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,5,0.2827,1694.3,229.3,-0.076109779162299,0.178823966663097,-1.15870085609115,1.653423418
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,5,0.2827,1694.3,229.3,0.29329632617183,0.625172296976981,-1.13504605615386,1.688778553
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,6,0.2831,1917.4,229.3,0.348023156591701,-0.164520902809122,-1.29675842619491,1.724617639
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,6,0.2831,1917.4,229.3,0.443795109826475,-0.748207180911894,-1.34592426230617,1.759972727
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,6,0.2831,1917.4,229.3,0.471158525036411,-0.834043398279949,-1.43785314072016,1.795812073
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,6,0.2831,1917.4,229.3,0.156479250122153,-0.36480541000125,-1.5139221901829,1.831167114
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,6,0.2831,1917.4,229.3,-0.0350646563473956,-0.0901295144234748,-1.5475664719729,1.866522167
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,6,0.2831,1917.4,229.3,0.115434127307249,0.854068876625127,-1.46459515460899,1.90236169
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,7,0.2271,2064.5,229.3,0.101752419702282,-0.547922673719766,-1.42575951739652,1.937716698
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,7,0.2271,2064.5,229.3,0.279614618566862,-1.28039172859383,-1.37222175646464,1.973071717
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,7,0.2271,2064.5,229.3,0.0743890044923466,-0.908434786665596,-1.32224503820788,2.008911397
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,7,0.2271,2064.5,229.3,0.252251203356927,0.161656723189486,-1.37522837068485,2.044266372
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,8,0.1645,2169,229.3,0.443795109826475,-0.0271829550202344,-1.34529289774408,2.080106247
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,8,0.1645,2169,229.3,0.252251203356927,-0.80543132582393,-1.22830971496699,2.115461179
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,8,0.1645,2169,229.3,0.457476817431443,-0.85121064175356,-1.21332549218793,2.151301234
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,1,0.4394,439.4,132.2,1.38783293456925,-0.942769273612818,-0.901722046034221,0
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,1,0.4394,439.4,132.2,0.895291460790411,-0.999993418524855,-1.02419253930786,0.03573513677
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,1,0.4394,439.4,132.2,0.908973168395378,-0.862655470735967,-1.29487682640641,0.06926037828
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,1,0.4394,439.4,132.2,0.895291460790411,-0.799708911332727,-1.33374247715519,0.104995238
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,1,0.4394,439.4,132.2,1.11419878246989,-1.37767277494429,-1.27808709449429,0.1385207566
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,1,0.4394,439.4,132.2,0.991063414025185,-0.759652009894301,-1.25791649506403,0.1742555595
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,1,0.4394,439.4,132.2,0.826882922765572,-0.782541667859116,-1.28714094310219,0.2080865205
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,1,0.4394,439.4,132.2,0.566930478271185,-0.484976114316526,-1.28887435399073,0.2435159132
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,1,0.4394,439.4,132.2,0.785837799950669,-0.725317522947079,-1.27006469699362,0.2773463539
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,1,0.4394,439.4,132.2,1.04579024444506,-1.04577273445448,-1.12424329670909,0.3127762779
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,1,0.4394,439.4,132.2,0.772156092345701,-0.908434786665596,-1.00807611575741,0.346606405
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,1,0.4394,439.4,132.2,0.676384139110926,-0.788264082350319,-1.06821544559279,0.3820366475
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,1,0.4394,439.4,132.2,1.00474512163015,-0.576534746175784,-1.22376400284688,0.4158665651
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,2,0.202,641.4,132.2,0.936336583605313,-0.771096838876709,-1.35780966965721,0.4516015943
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,2,0.202,641.4,132.2,1.00474512163015,-1.68668315746929,-1.39002819104829,0.4851267876
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,2,0.202,641.4,132.2,1.04579024444506,-1.20027792571698,-1.40183830622607,0.5208617859
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,2,0.202,641.4,132.2,1.27837927372951,-1.27466931410263,-1.22170110063243,0.5543870489
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,2,0.202,641.4,132.2,1.12788049007486,-0.971381346068836,-1.14778043794767,0.5901220213
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,2,0.202,641.4,132.2,0.525885355456282,0.339051572416799,-0.90149283467706,0.6245998719
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,3,0.2169,858.3,132.2,1.2373341509146,-0.862655470735967,-0.821627002415913,0.6593822867
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,3,0.2169,858.3,132.2,0.799519507555637,-0.937046859121614,-0.788434332756884,0.694164966
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,3,0.2169,858.3,132.2,0.635339016296024,-1.12588653733133,-0.853874175226647,0.7286425736
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,3,0.2169,858.3,132.2,0.649020723900991,-1.228889998173,-0.671909009059632,0.7634251764
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,3,0.2169,858.3,132.2,0.279614618566862,-1.13733136631374,-0.410192616310059,0.7979028763
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,3,0.2169,858.3,132.2,0.936336583605313,0.705286099853832,-0.705918244178552,0.8326854148
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,4,0.2421,1100.4,132.2,0.922654876000346,-1.2346124126642,-0.822228682228466,0.8671631911
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,4,0.2421,1100.4,132.2,0.854246337975507,-1.45778657782115,-0.738580862574144,0.9019456746
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,4,0.2421,1100.4,132.2,0.991063414025185,-1.66951591399568,-0.736202794743586,0.9364235153
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,4,0.2421,1100.4,132.2,0.785837799950669,-1.47495382129476,-0.686091461784036,0.9712059514
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,4,0.2421,1100.4,132.2,0.306978033776797,-1.46350899231235,-0.601354888183195,1.005988569
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,4,0.2421,1100.4,132.2,0.320659741381765,-0.433474383895693,-0.67288315732757,1.040466242
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,4,0.2421,1100.4,132.2,0.211206080542023,0.407720546311242,-0.783807128484175,1.075248808
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,5,0.1781,1278.5,132.2,0.840564630370539,-1.228889998173,-0.755141383129098,1.109726543
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,5,0.1781,1278.5,132.2,0.512203647851314,-1.47495382129476,-0.702422770981828,1.144509065
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,5,0.1781,1278.5,132.2,0.320659741381765,-0.994271004033651,-0.734684269502386,1.178986853
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,5,0.1781,1278.5,132.2,0.129115834912217,-0.164520902809122,-0.862727463897032,1.213769336
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,5,0.1781,1278.5,132.2,0.498521940246346,0.207436039119115,-0.800983654561506,1.248551961
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,6,0.1688,1447.3,132.2,0.348023156591701,-0.462086456351712,-0.859561482026233,1.283029618
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,6,0.1688,1447.3,132.2,0.101752419702282,-0.519310601263748,-0.769180578755272,1.317812202
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,6,0.1688,1447.3,132.2,0.265932910961895,-0.834043398279949,-0.883657325947891,1.35228991
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,6,0.1688,1447.3,132.2,0.0743890044923466,-0.696705450491061,-0.755599805843421,1.387072457
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,6,0.1688,1447.3,132.2,-0.0213829487424284,-0.593701989649396,-0.590882794302853,1.42155021
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,7,0.11,1557.3,132.2,0.156479250122153,-1.34906070248828,-0.680733646310375,1.456332723
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,7,0.11,1557.3,132.2,0.170160957727121,-0.628036476596618,-0.66380065730003,1.490810518
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,7,0.11,1557.3,132.2,-0.199245147607008,0.35621881589041,-0.762304238040411,1.525592999
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,8,0.1306,1687.9,132.2,0.101752419702282,-0.673815792526247,-0.766759533795249,1.560375596
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,8,0.1306,1687.9,132.2,0.389068279406604,-0.502143357790137,-0.695202613231225,1.594853285
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,8,0.1306,1687.9,132.2,0.320659741381765,-0.444919212878101,-0.660405464072063,1.629635849
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,8,0.1306,1687.9,132.2,-0.0897914867672672,0.77967748823948,-0.748494253771399,1.664113578
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,9,0.1027,1790.6,132.2,0.498521940246346,-1.11444170834893,-0.629404628015901,1.698896112
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,9,0.1027,1790.6,132.2,0.539567063061249,0.0185963609093947,-0.586040704382806,1.733373878
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,9,0.1027,1790.6,132.2,0.183842665332088,2.2217259400228,-0.467137312854998,1.768156384
BH-00391,903,5220,f,Tributary,2019-07-11,9,2010,10,0.0062,1806.8,132.2,0.129115834912217,-0.359082995510046,-0.452525088835919,1.803586704
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,0.252251203356927,-0.971381346068836,-1.41915522425966,0
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,0.443795109826475,-0.816876154806338,-1.45137374565075,0.03605551275
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,0.498521940246346,-0.948491688104021,-1.34666140227324,0.07211102551
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,0.621657308691056,-0.559367502702174,-1.1660313922617,0.1081665383
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,0.430113402221508,-0.656648549052636,-1.11769644732015,0.144222051
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,0.430113402221508,0.316161914451984,-0.920746588678672,0.1802775638
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,0.306978033776797,-0.570812331684581,-0.774567045648581,0.2163330765
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,0.389068279406604,-0.708150279473469,-0.548937115942202,0.2523885893
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,0.498521940246346,-0.278969192633195,-0.550341035504821,0.288444102
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,0.115434127307249,-0.032905369511438,-0.765312637103163,0.3244996148
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,-1.59477932331372,0.379108473855225,-1.20061365577352,0.3605551275
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,-2.63458910129127,0.23032569708393,-1.27934775695868,0.3956677899
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,0.607975601086088,0.213158453610319,-1.31699572237254,0.4307806867
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,0.416431694616539,-0.336193337545232,-1.27568037524409,0.4658937647
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,1,0.493,513,228.5,0.443795109826475,0.453499862240872,-1.24381999659856,0.501006986
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,2,0.3152,828.2,228.5,0.484840232641378,-0.0901295144234748,-1.07855860808473,0.5361203223
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,2,0.3152,828.2,228.5,0.580612185876152,-1.04005031996328,-0.829405862849597,0.5712337525
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,2,0.3152,828.2,228.5,0.566930478271185,-0.845488227262356,-0.758980673361565,0.6063472602
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,2,0.3152,828.2,228.5,0.607975601086088,-0.971381346068836,-0.757261588182851,0.6414608328
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,2,0.3152,828.2,228.5,0.703747554320863,-1.19455551122578,-0.815309364384133,0.6765744601
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,2,0.3152,828.2,228.5,0.539567063061249,-1.32617104452346,-1.1282974725889,0.7116881339
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,2,0.3152,828.2,228.5,0.840564630370539,-1.04577273445448,-1.10646509081921,0.7468018479
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,2,0.3152,828.2,228.5,0.566930478271185,-0.31902609407162,-0.6772668245333,0.7819155965
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,2,0.3152,828.2,228.5,0.676384139110926,0.115877407259857,-0.632026232913438,0.8170293752
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,3,0.2751,1103.3,228.5,0.375386571801636,-0.80543132582393,-0.710215957125343,0.8521431805
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,3,0.2751,1103.3,228.5,0.580612185876152,-1.20027792571698,-0.692623985463154,0.887257009
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,3,0.2751,1103.3,228.5,0.662702431505959,-1.27466931410263,-0.79221632015006,0.9223708582
BH-00392,930,5600,f,Tributary,2019-07-11,7,2012,3,0.2751,1103.3,228.5,0.991063414025185,-1.48639865027716,-0.758264387870431,0.9574847257
