fishID,TL_mm,weight,sex,area,capt_date,age,cohort,year,OH,d18O_oto,d18O_oto_cor,diff,sims_dist
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,5,0.0371,-6.7582605,-6.20258901087129,-0.55567148912871,1213.769336
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,5,0.0398,-6.127754,-5.53164280681071,-0.59611119318929,1248.551961
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,6,0.0387,-7.2626657,-6.68302994179835,-0.579635758201647,1283.029618
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,6,0.0369,-7.3596667,-6.80699074450541,-0.552675955494594,1317.812202
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,6,0.0381,-7.8931722,-7.32252304270071,-0.570649157299296,1352.28991
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,6,0.0367,-7.6603698,-7.11068937813952,-0.549680421860476,1387.072457
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,6,0.036,-7.485768,-6.94657194585893,-0.539196054141066,1421.55021
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,7,0.0373,-8.7661812,-8.20751417723717,-0.558667022762828,1456.332723
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,7,0.0374,-7.5439686,-6.98380381042011,-0.560164789579886,1490.810518
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,7,0.0347,-5.8755514,-5.35582631448069,-0.519725085519306,1525.592999
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,8,0.0369,-7.6215694,-7.06889344450541,-0.552675955494594,1560.375596
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,8,0.039,-7.3305664,-6.74643734134718,-0.584129058652822,1594.853285
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,8,0.0385,-7.2335654,-6.65692517543247,-0.576640224567529,1629.635849
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,8,0.0355,-5.157744,-4.62603677994423,-0.531707220055774,1664.113578
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,9,0.0398,-8.3684771,-7.77236590681071,-0.59611119318929,1698.896112
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,9,0.0401,-6.4478573,-5.84725280635953,-0.600604493640466,1733.373878
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,9,0.0375,-2.7133188,-2.15165624360306,-0.561662556396944,1768.156384
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,10,0.0371,-7.0880639,-6.53239241087129,-0.55567148912871,1803.586704
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.038,-8.1259746,-7.55682320951776,-0.569151390482237,0
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.0394,-7.8640719,-7.27395177407894,-0.590120125921056,36.05551275
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.0398,-8.0871742,-7.49106300681071,-0.59611119318929,72.11102551
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.0407,-7.4275674,-6.81797630545718,-0.609591094542817,108.1665383
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.0393,-7.5924691,-7.003846740896,-0.588622359103998,144.222051
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.0393,-5.9434521,-5.354829740896,-0.588622359103998,180.2775638
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.0384,-7.4469676,-6.87182514224953,-0.575142457750471,216.3330765
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.039,-7.67977,-7.09564094134718,-0.584129058652822,252.3885893
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.0398,-6.9522625,-6.35615130681071,-0.59611119318929,288.444102
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.037,-6.5351582,-5.98098447768835,-0.554173722311652,324.4996148
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.0245,-5.836751,-5.46979812982066,-0.366952870179337,360.5551275
