area,date,cohort,month,d18O,d18O_cor,d18O_W
Tributary,2018-07-01,2013,7,-7.08134376802508,-7.19827053471993,-5.9
Tributary,2018-07-01,2009,7,-7.08134376802508,-7.19827053471993,-5.9
Tributary,2018-07-01,2015,7,-7.08134376802508,-7.19827053471993,-5.9
Tributary,2018-08-01,2016,8,-6.89384904514107,-6.96999344277862,-5.38803607214429
Tributary,2018-08-01,2014,8,-6.89384904514107,-6.96999344277862,-5.38803607214429
Tributary,2018-08-01,2010,8,-6.89384904514107,-6.96999344277862,-5.38803607214429
Tributary,2018-08-01,2017,8,-6.89384904514107,-6.96999344277862,-5.38803607214429
Tributary,2018-08-01,2012,8,-6.89384904514107,-6.96999344277862,-5.38803607214429
Tributary,2018-08-01,2013,8,-6.89384904514107,-6.96999344277862,-5.38803607214429
Tributary,2018-08-01,2009,8,-6.89384904514107,-6.96999344277862,-5.38803607214429
Tributary,2018-08-01,2015,8,-6.89384904514107,-6.96999344277862,-5.38803607214429
Tributary,2018-09-01,2016,9,-6.58715560125392,-6.77223693599445,-5.12342284569138
Tributary,2018-09-01,2014,9,-6.58715560125392,-6.77223693599445,-5.12342284569138
Tributary,2018-09-01,2010,9,-6.58715560125392,-6.77223693599445,-5.12342284569138
Tributary,2018-09-01,2017,9,-6.58715560125392,-6.77223693599445,-5.12342284569138
Tributary,2018-09-01,2012,9,-6.58715560125392,-6.77223693599445,-5.12342284569138
Tributary,2018-09-01,2013,9,-6.58715560125392,-6.77223693599445,-5.12342284569138
Tributary,2018-09-01,2009,9,-6.58715560125392,-6.77223693599445,-5.12342284569138
Tributary,2018-09-01,2015,9,-6.58715560125392,-6.77223693599445,-5.12342284569138
Tributary,2018-10-01,2016,10,-6.36700286144201,-6.54234388746994,-5.42066933867736
Tributary,2018-10-01,2014,10,-6.36700286144201,-6.54234388746994,-5.42066933867736
Tributary,2018-10-01,2010,10,-6.36700286144201,-6.54234388746994,-5.42066933867736
Tributary,2018-10-01,2017,10,-6.36700286144201,-6.54234388746994,-5.42066933867736
Tributary,2018-10-01,2012,10,-6.36700286144201,-6.54234388746994,-5.42066933867736
Tributary,2018-10-01,2013,10,-6.36700286144201,-6.54234388746994,-5.42066933867736
Tributary,2018-10-01,2009,10,-6.36700286144201,-6.54234388746994,-5.42066933867736
Tributary,2018-10-01,2015,10,-6.36700286144201,-6.54234388746994,-5.42066933867736
Tributary,2018-11-01,2016,11,-5.90665861724138,-6.1166011932002,-6.00735871743487
Tributary,2018-11-01,2014,11,-5.90665861724138,-6.1166011932002,-6.00735871743487
Tributary,2018-11-01,2010,11,-5.90665861724138,-6.1166011932002,-6.00735871743487
Tributary,2018-11-01,2017,11,-5.90665861724138,-6.1166011932002,-6.00735871743487
Tributary,2018-11-01,2012,11,-5.90665861724138,-6.1166011932002,-6.00735871743487
Tributary,2018-11-01,2013,11,-5.90665861724138,-6.1166011932002,-6.00735871743487
Tributary,2018-11-01,2009,11,-5.90665861724138,-6.1166011932002,-6.00735871743487
Tributary,2018-11-01,2015,11,-5.90665861724138,-6.1166011932002,-6.00735871743487
Tributary,2018-12-01,2016,12,-5.27548314482759,-5.54419868837235,-6.52665330661323
Tributary,2018-12-01,2014,12,-5.27548314482759,-5.54419868837235,-6.52665330661323
Tributary,2018-12-01,2010,12,-5.27548314482759,-5.54419868837235,-6.52665330661323
Tributary,2018-12-01,2017,12,-5.27548314482759,-5.54419868837235,-6.52665330661323
Tributary,2018-12-01,2012,12,-5.27548314482759,-5.54419868837235,-6.52665330661323
Tributary,2018-12-01,2013,12,-5.27548314482759,-5.54419868837235,-6.52665330661323
Tributary,2018-12-01,2009,12,-5.27548314482759,-5.54419868837235,-6.52665330661323
Tributary,2018-12-01,2015,12,-5.27548314482759,-5.54419868837235,-6.52665330661323
Tributary,2019-01-01,2016,1,-7.74020908461538,-7.83092821599883,-7.68120183540208
Tributary,2019-01-01,2014,1,-7.74020908461538,-7.83092821599883,-7.68120183540208
Tributary,2019-01-01,2018,1,-7.74020908461538,-7.83092821599883,-7.68120183540208
Tributary,2019-01-01,2010,1,-7.74020908461538,-7.83092821599883,-7.68120183540208
Tributary,2019-01-01,2017,1,-7.74020908461538,-7.83092821599883,-7.68120183540208
Tributary,2019-01-01,2012,1,-7.74020908461538,-7.83092821599883,-7.68120183540208
Tributary,2019-01-01,2013,1,-7.74020908461538,-7.83092821599883,-7.68120183540208
Tributary,2019-01-01,2009,1,-7.74020908461538,-7.83092821599883,-7.68120183540208
Tributary,2019-01-01,2015,1,-7.74020908461538,-7.83092821599883,-7.68120183540208
Tributary,2019-02-01,2016,2,-7.82224163193473,-7.9488259285146,-8.0752838402259
Tributary,2019-02-01,2014,2,-7.82224163193473,-7.9488259285146,-8.0752838402259
Tributary,2019-02-01,2018,2,-7.82224163193473,-7.9488259285146,-8.0752838402259
Tributary,2019-02-01,2010,2,-7.82224163193473,-7.9488259285146,-8.0752838402259
Tributary,2019-02-01,2017,2,-7.82224163193473,-7.9488259285146,-8.0752838402259
Tributary,2019-02-01,2012,2,-7.82224163193473,-7.9488259285146,-8.0752838402259
Tributary,2019-02-01,2013,2,-7.82224163193473,-7.9488259285146,-8.0752838402259
Tributary,2019-02-01,2009,2,-7.82224163193473,-7.9488259285146,-8.0752838402259
Tributary,2019-02-01,2015,2,-7.82224163193473,-7.9488259285146,-8.0752838402259
Tributary,2019-03-01,2016,3,-7.86276046456877,-8.00065008496055,-7.7
Tributary,2019-03-01,2014,3,-7.86276046456877,-8.00065008496055,-7.7
Tributary,2019-03-01,2018,3,-7.86276046456877,-8.00065008496055,-7.7
Tributary,2019-03-01,2010,3,-7.86276046456877,-8.00065008496055,-7.7
Tributary,2019-03-01,2017,3,-7.86276046456877,-8.00065008496055,-7.7
Tributary,2019-03-01,2012,3,-7.86276046456877,-8.00065008496055,-7.7
Tributary,2019-03-01,2013,3,-7.86276046456877,-8.00065008496055,-7.7
Tributary,2019-03-01,2009,3,-7.86276046456877,-8.00065008496055,-7.7
Tributary,2019-03-01,2015,3,-7.86276046456877,-8.00065008496055,-7.7
